Rbr;Tekst;Odgovor;Tezina
253;Trash metal-bend Slayer objavio je 1986. godine album Reign Blood koji otvara pjesma Angel of Death, ispirirana kojim zloglasnim nacističkim liječnikom?;Josef MENGELE;4
254;Dijeleći ime s urotnikom protiv Julija Cezara, kako se zove pjenušac koji sadrži manje od 15 g/l neprovrela sladora?;BRUT;4
255;Koji je izmišljeni jezik u svojoj knjizi skraćena naslova TKD ope sao lingvist Marc Okrand, a temeljen je na zvukovima i nekolik riječi koje su za film Star Trek: The Motion Picture iz 1979. izmi slili glumac James Doohan i scenarist i producent Jon Povill?;KLINGONSKI;4
256;Prema arapskom za"tumačiti" ili "objasniti", tefsir je disciplina koja se bavi tumačenjem izravno prenesene Božje riječi i visokog stila izražavanja u kojoj svetoj knjizi?;KUR'AN;4
257;Remek-djelo Diega Velasqueza iz 1656. godine Male dvorske dame (Las Meninas) čuva se u kojem poznatom muzeju?;PRADO;4
258;S podnaslovom Epizoda u životu umjetnika, kakva je naslovna simfonija Hectora Berlioza iz 1830. godine, koju je Leonard Bernstein svojedobno opisao kao prvi glazbeni izlet u psihodeliju?;FANTASTIČNA;4
259;Nakon što je 1747. godine ujedinio nekoliko paštunskih ple mena i postavio Kandahar za glavni grad, Ahmad šah Durrani smatran je osnivačem koje moderne države?;AFGANISTAN;4
260;Po kojem je plesu i glazbenom žanru nazvan efekt koji je 1999. godine izazvao gotovo 35-postotni pad vrijednosti brazilskog reala, uzrokovan azijskom financijskom krizom dvije godine ranije, koja je dovela do povećanja kamatnih stopa i poreza te smanjenja potrošnje?;SAMBA;4
261;Kako bi podigao moral zaposlenika osiguravajućeg društva i oraspoložio ih, koji je simbol izražavanja osjećaja i psihičkih stanja u pisanoj komunikaciji u stiliziranom obliku 1963. godine kreirao grafički umjetnik Harvey Ross Ball?;SMILEY/HAPPY FACE/SMJEŠKO;3
262;Gotovo sam u san pao kad je netko zakucao/ Pred sobna mi vrata stao/kucajući tiho, tiše "Posjetilac", ja promrmljah, što u sobu ući ište, / Samo to i ništa više. Tko ili što je posjetilac iz slavne pjesme Edgara Allana Poea, objavljene 1845. godine?;GAVRAN;1
263;Kako se zvalo ilirsko pleme nastanjeno u istočnom donjem porječju Neretve do mora između 300. i 50. pr. Kr., čije se glavno središte nalazilo u Ošanićima kraj Stoca? Od Grka su preuzeli kulturne stečevine, a na njihovu kovanom novcu iz 2. st. pr. Kr. stajao je natpis ΔΑΟΡΣΩΝ.;DAORSI/DAVERSI;4
264;Ime koje je pokrajine u središnjem dijelu Peloponeza postalo sinonim za idiličan seoski život, a nalazi se i u naslovu pastoralnog romana Jacopa Sannazara?;ARKADIJA;5
265;Adrian Panatta jedini je tenisač koji je na Roland Garrosu pobijedio kojeg Šveđanina i šesterostrukog osvajača toga Grand Slama, učinivši to 1973. i 1976. godine?;Björn BORG;5
266;Nakon što ga je u filmu popularizirao Tom Cruise, prodaja kojeg je modela sunčanih naočala Ray-Ban tijekom 1986. godine na tržištu porasla za oko 40 posto?;AVIATOR;3
267;Kako se zove područje psihologije koje se bavi pretežito spoznajnim procesima te procesima kojima se stječe znanje i rješavaju problemi kao i percepcijom, pozornošću, pamćenjem, mišljenjem, učenjem i govorom?;KOGNITIVNA psihologija;3
268;Pod znanstvenim nazivom Spilocaea oleagina, paunovo oko poznato je po karakterističnim okruglastim, žutim pjegama omeđenim rubovima i najopasnija je bolest lišća koje mediteranske biljke?;MASLINA;4
269;Iako mnoge asocira na sport, koji je Volkswagenov model automobila ipak nazvan prema toploj struji sjevernog Atlantskog oceana?;GOLF (Golfska struja);2
270;Indijska savezna država Kerala postala je 1957. godine prva država u Indiji i prvo područje na svijetu u kojem je na slobodnim demokratskim izborima vlast formirala koja politička stranka/ opcija, na čelu s E. M. S. Namboodiripadom?;KOMUNISTIČKA stranka / KOMUNISTI;5
271;Dokumentarni film redatelja i scenarista Johna Scheinfelda U potrazi za Traneom (Chasing Trane) usredotočen je na život te emotivnu, duhovnu i društvenu dimenziju glazbe kojega čuvenog džezista?;John COLTRANE;4
272;Po kojem je glodavcu iz porodice Sciuridae nazvana biblioteka (1957. 1998.) izdavačke kuće Mladost, koja je bila središnji medij dječje književnosti u drugoj polovici 20. stoljeća?;VJEVERICA;1
273;Uzrokujući gubitak cakline na zubima i osjetljivost žvačnih mišića, što točno u stomatologiji označava pojam bruksizam?;ŠKRIPANJE/ ŠKRGUTANJE zubima;4
274;Prije nego što je postao popularni internetski mem, koji se antropomorfni žabac prvi put pojavio 2005. godine kao jedno od četiriju tinejdžerskih čudovišta u seriji stripova Matta Furieja Boy's Club?;PEPE the Frog / Žabac PEPE;3
275;Zapise predavanja filozofa Plotina njegov je učenik Porfirije skupio i objavio pod nazivom Eneade i podijelio ih u šest knjiga od kojih je svaka sastavljena od koliko dijelova zahvaljujući čemu su i dobile ime (grčki ennea)?;DEVET;4
276;Koji je slikar, nadahnut ruskim pučkim legendama i folklorom te trajno opsjednut uspomenama na provincijski židovski okoliš iz djetinjstva u Vitebsku i fantazmagoričnim prividenjima, rafiniranom senzibilnošću i imaginacijom stvorio originalna umjetnička djela u ozračju kubizma, ekspresionizma i nadrealizma?;Marc CHAGALL;5
277;U pismu Robertu Hookeu 1675. godine Newton je napisao čuvenu rečenicu, često korištenu kao simbol znanstvenog napretka: "Ako sam vidio dalje od drugih, to je zato što sam stajao na ramenima koga."?;DIVOVI;3
278;Poznat, između ostaloga, po sjajnoj instrumentalnoj verziji pjesme Raya Charlesa I've Got a Woman te istoimenom prvom à albumu, američki blues i jazz soul-glazbenik Jimmy McGriff primarno je svirao koji veliki glazbeni instrument?;ORGULJE;5
279;Kakav je tango u naslovu romana iz 1985. godine, kojim je László Krasznahorkai odmah na velika vrata ušao u vrh madarske, ali i svjetske književnosti?;SOTONSKI;4
280;Po kojem srednjovjekovnom vladaru ime nosi prestižna nagrada za rad na europskom jedinstvu, koju od 1950. godine dodjeljuje grad Aachen?;KARLO VELIKI;4
281;Najniža (-105 m) i najviša (6961 m) točka obiju Amerika nalaze se u kojoj državi, ukupno petoj po broju stanovnika (oko 45 milijuna) na oba kontinenta?;ARGENTINA;4
282;Koju su mobilnu aplikaciju za slanje teksta i multimedijalnih poruka 2013. godine pokrenula braća Nikolaj i Pavel Durov, poznati i kao osnivači društvene mreže VKontakte?;TELEGRAM;4
283;Tko je od 1951. do 1960. godine držao naslov boksačkog prvaka Ugande u poluteškoj kategoriji?;Idi AMIN;4
284;Prije negoli je došlo do otvorenog sukoba, Jane Goodall primijetila je razdvajanje unutar zajednice Kasakela, što je dovelo do stvaranja nove, separatističke komune Kaskama i otkrilo mračnu stranu ponašanja tih majmuna. Kasniji sukob u tanzanijskom Nacionalnom parku Gombe, koji je trajao od 1974. do 1978. godine, poznat je kao rat kojih vrsta primata, znanstvenog imena Pan troglodytes?;Obične ČIMPANZE;4
285;Ime koje naslovne Disneyjeve ratnice, publici prvi put predstavljene 1998. godine, na mandarinskom znači"magnolija"?;MULAN;3
286;Šestominutna pjesma Paranoid Android kojeg je britanskog rock-benda, s njihova trećeg studijskog albuma OK Computer iz 1997. godine, nazvana po liku iz Adamsove petodijelne trilogije Vodič kroz galaksiju za autostopere?;RADIOHEAD;1
287;Od grčkih riječi za "povratak" i "patnju", koji bi se osjećaj mogao opisati kao patnja uzrokovana neutaženom žudnjom za povratkom? Pojam je skovao fizičar Johannes Hofer krajem 17. stoljeća kako bi opisao dijagnozu švicarskih vojnika koji su u Tridesetogodišnjem ratu osjećali tugu zbog odvojenosti od domovine i svojih najbližih.;NOSTALGIJA (nostos + algos);5
288;Koji je rasterski grafički uređivač uključen u sve verzije sustava Microsoft Windows od 1985. godine?;PAINT/PAINTBRUSH;1
289;Dijeleći ime sa sveukupnošću kemijskih reakcija u organizmu, kako se zvao arhitektonski pokret u Japanu nakon Drugoga svjetskog rata, koji je u rekonstrukciji tamošnjih gradova za cilj imao izgradnju arhitektonskih megastruktura podložnih organskim promjenama poput živog bića?;METABOLIZAM;4
290;Nagrađen sa sedam Oscara, koji povijesni spektakl Davida Leana ne bi dobro prošao na"Bechdel testu" jer u više od tri i pol sata filma nema niti jedan ženski lik s izgovorenim tekstom?;LAWRENCE OD ARABIJE;4
291;Nazvan "Čovjekom s jezera Mungo", pradavni lovac čiji su pronadeni ostaci stari oko 42 tisuće godina, smatra se najstarijim pripadnikom Homo sapiensa na kojem kontinentu?;AUSTRALIJA;4
292;U arapskim zemljama tradicionalno se proriče iz manje količine koje tekućine koja se ulije u dlan i po načinu razlijevanja može se tumačiti nečija narav i budućnost?;ULJE;4
293;U kojem sportu Aladára Gerevicha smatraju najvećim olimpijcem u povijesti? Jedini je sportaš koji je u istoj disciplini osvojio šest zlatnih medalja, a ujedno je osvajač zlata u najvećem rasponu Igara (1932. i 1960.).;MAČEVANJE;5
294;Kako se, dvjema latinskim riječima, zovu istraživački eksperimenti u kojima se efekti različitih bioloških entiteta testiraju na cijelim živim organizmima, obično na životinjama, ali uključujući i ljude i biljke?;IN VIVO;4
295;Hrvatski botaničar i akademik Ivo Pevalek, zaslužan za promoviranje zaštite prirode, predlagao je da se osnuje koji nacionalni park koji je zahvaljujući njemu i njegovim istraživanjima dobio nacionalnu i svjetsku zaštitu?;PLITVIČKA JEZERA;4
296;Koje su ime, čiji je izvorni oblik Šuŋgmánitu Tháŋka Ób Wačhí, poručniku Unije Johnu J. Dunbaru nadjenuli Indijanci plemena Sioux u redateljskom prvijencu i nagrađivanom vesternu Kevina Costnera iz 1990. godine?;DANCES WITH WOLVES / PLEŠE S VUKOVIMA;2
297;Kojega sveca i prvog biskupa Liègea legende opisuju kao lovca kojega je obratio jelen s križem među rogovima?;SV. HUBERT;4
298;U kojem je desetljeću 20. stoljeća Jim Hines postao prvi sprinter koji je pretrčao 100 metara za manje deset sekundi, točnije 9,95 s?;SEDMO/Šezdesete;4
299;Koji je zajednički naziv za šest spojenih i jedno odvojeno jezero na jugu Hrvatske, a redom su Oćuša, Trniševo (ili Crniševo), Podgora, Sladinac, Vranjak (ili Vrbnik), Šipak i Plitko jezero?;BAĆINSKA JEZERA;4
300;Kako se prezivao austrijski pedijatar Johann (Hans) koji je 1944. godine opisao djecu koja očito imaju normalnu inteligenciju, ali im nedostaje vještina neverbalne komunikacije, fizički su nespretna i ne pokazuju empatiju?;ASPERGER;4
301;Na jugu koje se države nalazi atraktivna, 80-ak metara duboka klisura Partnachklamm, koja je glumila" transilvanijski prolaz Borgo u filmu Nosferatu: Fantom noći iz 1979. godine?;NJEMAČKA;4
302;Tko je ranom primjenom daktiloskopije 1892. godine uspio pronaći odgovornu osobu za dvostruko ubojstvo djece u slučaju Francisce Rojas, koja je unatoč lažnom iskazu otkrivena zahvaljujući krvavom otisku palca?;Ivan VUČETIĆ (Juan VUCETICH);4
303;Iako je kasnije utvrđeno da Rimljanka na slici Vjekoslava Karasa, nastaloj između 1845. i 1847. godine, u ruci drži napuljsku mandolinu, iz ustaljenog naziva slike ipak doznajemo da je riječ o kojem žičanom instrumentu?;LUTNJA;2
304;Utemeljen u Parizu 2010. godine, najznačajniji europski festival TV serija Series Mania od 2018. premijerno prikazuje najvažnije svjetske serije u kojem sjevernofrancuskom gradu?;LILLE;4
305;Terminom kojim je Gertrude Stein opisala američke pisce koji su živjeli u Parizu dvadesetih, kako se uobičajeno naziva generacija koja se borila u Prvom svjetskom ratu, ona rođena izmedu 1883. i 1900. godine te u Europi poznata kao "Generacija 1914."?;LOST Generation/ IZGUBLJENA generacija;3
306;Kasnije nazvan po azijskoj državi, ununtrij je bilo privremeno ime kojeg radioaktivnog kemijskog elementa atomskog broja 113?;NIHONIJ;5
307;Koje je nacionalnosti posljednji skakač s motkom koji je držao svjetski rekord (nekoliko minuta u Rimu 1984.) prije gotovo tridesetogodišnje dominacije Sergeja Bubke u toj disciplini?;FRANCUZ (Thierry Vigneron);5
308;Koji je revolucionar i voda jakobinske diktature fanatičnom odanošću Revoluciji i odbijanjem unosnih položaja i počasti stekao nadimak"Nepotkupljivi"? Nakon što je zbačena diktatura, zajedno sa svojim suradnicima smaknut je na giljotini 1794. godine.;Maximilien ROBESPIERRE;4
309;Suprotstavljajući se poetici socijalističkog realizma, a zauzimajući se za slobodu pisanja i estetski pluralizam, program kojeg j časopisa (1952. 1958.) po kojemu je nazvan naraštaj mladih hrvatskih književnika izložen u programatskom eseju Vlatka Pavletića Neka bude živost?;KRUGOVI;4
310;Sa stihovima Tima Ricea i glazbom Eltona Johna, koji je nagradivani mjuzikl, temeljen na slavnom animiranom filmu iz 1994. godine, nakon Fantoma u operi i Chicaga najizvođeniji i po zaradi najznačajniji brodvejski mjuzikl u povijesti?;KRALJ LAVOVA / The LION KING;2
311;Nazvana prema šumarskom inženjeru i strastvenom planinaru koji ju je projektirao, kako se zove 57 kilometara duga staza te prolazi kroz koja se proteže od Zavižana do Baških Oštarija najljepše i najnepristupačnije dijelove Velebita?;PREMUŽIĆEVA staza;3
312;Kako se zvao pas kojega je udomio sveučilišni profesor Hidesaburo Ueno, nakon čije ga je smrti još punih devet godina pas čekao na istom mjestu, sve dok 1935. nije uginuo?;HACHIKO;4
313;Budući da im je palube ubrzo prekrio pustinjski pijesak, kako je nazvana flota od 15 (uglavnom europskih) brodova koja je nakon Šestodnevnog rata osam godina (1967. 1975.) ostala zarobljena u zatvorenom Sueskom kanalu?;ŽUTA;4
314;Utemeljen 2008. godine u Zagrebu, kako se dvjema riječima znakovito zove godišnji medunarodni festival fotografije, čiji program pokušava potaknuti promišljanje i razgovor o ključnim, globalno i društveno važnim političkim pitanjima o kojima se može komunicirati medijem fotografije?;ORGAN VIDA;5
315;Uz to što je poznata kao pjesma iz filma Diplomac (The Graduate) Mrs. Robinson Simona i Garfunkela u povijesti američkog sporta ostala je zapamćena po posveti kojoj bejzbolskoj ikoni New York Yankeesa, dominantnoj figuri tridesetih i četrdesetih 20. stoljeća?;Joe DiMAGGIO;3
316;Osnovao ju je Darren Morgenstern 2002. godine pod sloganom "Life is short. Have an Affair" s ciljem okupljanja ljudi koji su u braku ili vezama. Kako se zove kontroverzna mrežna stranica čije ime dolazi od dvaju popularnih ženskih imena u Sjevernoj Americi?;ASHLEY MADISON;4
317;Nekada se ova riba iz porodice Clupeidae koristila da skrene pažnju psima tragačima u lovu na plijen, a po njoj se danas naziva retorička pogreška kod koje se sugovornika obmanjuje ili mu se odvraća pažnja od glavne teme. Naziv je ove pogreške crvena što?;HARINGA;3
318;Kojoj je državi prvo olimpijsko zlato u povijesti 2016. godine donio Joseph Schooling pobijedivši u Riju svog idola Michaela Phelpsa?;SINGAPUR;5
319;Kako se zove vrsta najčešće primjenjivane ljestvice za mjerenje stavova, sa sadržanim tvrdnjama koje izražavaju pozitivan ili negativan stav prema objektu? Svaku tvrdnju prati najčešće pet mogućih odgovora kojima se izražava stupanj slaganja, odnosno neslaganja sa stavom izraženim u tvrdnji (potpuno slaganje, slaganje, neodlučnost/neutralnost, neslaganje, potpuno neslaganje).;LIKERTOVA ljestvica;5
320;U koju se domenu živog svijeta, s obzirom na građu stanice, ubrajaju redovi Euryarchaeota, Crenarchaeota i Korarchaeota?;ARHEJE/PRABAKTERIJE;5
321;Kojem se zapadnoafričkom bogu pauku pripisivala zasluga da je ljude naučio paliti vatru, a istodobno je bio i nepopravljiv izvor smicalica?;ANANSI;3
322;Kako se na "P" u antičkoj retorici i poetici, zove figura iskaza koja sadrži igru riječima sličnima na planu izraza, a različitima prema sadržaju, u kojoj riječi mogu biti, ali ne moraju, međusobno etimološki povezane?;PARONOMAZIJA;5
323;Označavana skraćeno YNWA, koja je pjesma iz mjuzikla Karusel (1945.) Rodgersa i Hammersteina postala jedna od zaštitnih navijačkih pjesama nogometnih navijača, osobito jednog kluba? Pjesmu su kasnije obradili Gerry and the Pacemakers.;YOU'LL NEVER WALK ALONE;4
324;Koliko se igrača ukupno nalazi na terenu u utakmici kanadskog nogometa?;24;5
325;Skup od 56 tornjeva sa zvonicima, koji su od 1999. godine na UNESCO-ovu popisu svjetske kulturne baštine zbog svoje važnosti kao spomenika gradske neovisnosti od feudalnih i vjerskih utjecaja, što je dovelo do visokog stupnja lokalne demokracije od velike važnosti za povijest čovječanstva, zajednička je baština kojih dviju država?;FRANCUSKA I BELGIJA;5
326;Kako se zove "najusamljenija" točka na svijetu, zamišljeno mjesto udaljeno od najbližeg kopna oko 1450 nautičkih milja, koje je 1992. godine definirao hrvatsko-kanadski istraživač i inženjer Hrvoje Lukatela, a ime dijeli s književnim junakom, ali i latinskom riječi za odsutnost bilo koga?;NEMO;5
327;Premda je dugo vladalo mišljenje da je raširenih nogu pozirala Joanna Hiffernan, ipak je ustanovljeno da je balerina pariške Opere Constance Quéniaux bila model za koju čuvenu sliku Gustavea Courbeta?;PODRIJETLO SVIJETA/ L'ORIGINE DU MONDE;4
328;Poznat i kao tenore robusto, koji se pridjev koristi za tip dramskog tenora koji je, u zahtjevu za snagom tona i izdržljivošću, stvorio Richard Wagner? Najpoznatije su uloge za taj zahtjevni glas Tristan u Tristanu i Izoldi, Manrico u Trubaduru i Radames u Aidi.;HEROJSKI tenor;4
329;Kako se zove nagrađivani 13-minutni animirani film Zdenka Gašparovića, nadahnut i animiran po glazbenim minijaturama a glasovir Erica Satieja u izvedbi Alda Ciccolinija, koji se smatra jednim od remek-djela Zagrebačke škole crtanog filma?;SATIEMANIJA;5
330;Kako se zovu vještice koje se, prema legendi, na Valpurginu noć sastaju na Kleku iznad Ogulina, a zbog zloga sporazuma s vragom mogu donijeti bolesti, vremenske nepogode ili čak kravama oduzimati mlijeko?;COPRNICE;3
331;Koja se rijeka, čije ime na većini istočnih indoeuropskih jezika znači "rijeka" ili jednostavno "voda", ulijeva u istoimeni zaljev čineći ga najdužim estuarijem na svijetu koji se pak nakon gotovo tisuću kilometara spaja s Karskim morem?;OB;4
332;S prikazom viteške borbe u logu, kako se zove jedna od najstarijih i najvećih tvrtki olovaka, uredskog i umjetničkog pribora osnovana u njemačkom Steinu 1761. godine?;FABER-CASTELL;3
333;Poznate i kao Las Leonas, reprezentativke Argentine u kojem su sportu, osvojivši srebro u Sydneyju (poraz od Australije 3 1), postale prva a ženska ekipa iz te zemlje s osvojenom olimpijskom medaljom u nekom timskom sportu?;HOKEJ NA TRAVI;5
334;Iako je tu praksu stotinjak godina ranije Benjamin Franklin spomenuo u pismu urednicima lista Journal of Paris, ideju čega su, neovisno jedan o drugom i svaki zbog svog zanimanja, prvi službeno predložili novozelandski entomolog George Hudson i britanski poduzetnik i golfer William Willett?;LJETNO RAČUNANJE VREMENA;4
335;Kako se zove specifičan tip bankarstva u kojemu nema plaćanja i primanja kamate, a banke posluju na bazi podjele profita ili s pomoću drugih dopuštenih oblika?;ISLAMSKO bankarstvo;5
336;Ova kartaška igra sa špilom od 32 karte jedna je od najstarijih (rano 16. stoljeće) i često se naziva "najfrancuskijom" od svih igara, a cilj je svakog igrača zamjenom stvoriti što jaču kombinaciju svojih karata unutar šest dijeljenja. Kako se zove ta igra ako naziv dijeli s prezimenom trostrukog svjetskog prvaka Formule 1 osamdesetih godina 20. stoljeća?;PIQUET/PIKE;5
337;Koja je tradicionalna djelatnost karakteristična za otok Krapanj, umijeće kojem je mještane početkom 18. stoljeća podučio fra Antun Grk s Krete?;SPUŽVARSTVO;4
338;Koja se životinja iz porodice šupljorožaca (Bovidae) do 2015. godine kao simbol nalazila na logu ciparske zrakoplovne kompanije Cyprus Airways, a od 2008. krasi naličja ciparskog izdanja kovanica od 1,2 i 5 eurocenta?;MUFLON;4
339;Kako se zove grana hidrologije koja se bavi istraživanjem i proučavanjem jezera?;LIMNOLOGIJA;5
340;Kako se u drevnom Izraelu zvala skupština ili vijeće mudraca koje se sastojalo od 23 suca u svakom židovskom gradu, dok je isti pojam uz pridjev veliki" označavao skupštinu ili vrhovni sud sastavljen od 71 pripadnika naroda Izraela?;SANHEDRIN;5
341;Simbol St. Louisa, 192 metra visok luk Gateway, djelo je kojega finsko-američkog arhitekta, poznatog po neofuturističkom stilu?;Eero SAARINEN;5
342;Nastalo iz dviju skica, Grčka glazbena drama i Sokrat i tragedija, kako se zove prvo objavljeno djelo Friedricha Nietzschea iz 1872. godine, u čijem je fokusu polemika o položaju tragedije u starogrčkoj umjetnosti, njezinu uništenju od strane Sokrata i Euripida te ponovnom"uskrsnuću" u glazbi Richarda Wagnera?;ROĐENJE TRAGEDIJE iz duha glazbe;5
343;Koji je mongolski vladar 1271. godine osnovao kinesku dinastiju Yuan, čijim je dolaskom na prijestolje Kinom prvi put u povijesti vladala strana dinastija, a koju je kasnije zbacila dinastija Ming?;KUBLAJ-KAN;4
344;Kojega je pjesnika, koji je tada slovio za najvećeg živućeg rimskog pjesnika, car August 8. godine protjerao na obale Crnoga mora, gdje je u progonstvu napisao zbirku elegija Zalobnice (Tria (Epistulae ex Ponto)? Uz Vergilija, stia) te Poslanice s Crnoga mora upravo je on najtrajnije prisutan u zapadnoj književnosti, likovnim umjetnostima i glazbi.;Publije OVIDIJE Nazon;5
345;Koju su psihoaktivnu tvar slabo topivu u vodiformule CHO-1964. godine prvi izolirali te objasnili njezinu strukturu i sintezu izraelski kemičari Raphael Mechoulam i Yehiel Gaoni?;TETRAHIDRO-KANABINOL (THC);4
346;Nezavisni danski proizvođač videoigara Playdead na tržištu se pojavio 2010. godine kojom megapopularnom puzzle-platform videoigrom crno-bijelih tonova, nazvavši je prema latinskom izrazu za "rub" ili "granicu"?;LIMBO;2
347;Kojim se slovom grčkog alfabeta označava efekt u kojem prostor (udaljenost promatranih objekata) utječe na ljudsku percepciju vremena stvarajući tako vremensku iluziju?;KAPA;4
348;Koja je korporacija za svoju marketinšku kampanju 1995. godine platila oko tri milijuna dolara grupi Rolling Stones zbog korištenja njihove pjesme Start Me Up?;MICROSOFT;1
349;Pobijedivši ispred para Irina Lobačeva i Ilja Averbuh, na kojim je Zimskim olimpijskim igrama plesni par Marina Anissina i Gwendal Peizerat Francuskoj donio prvo zlato u umjetničkom klizanju nakon 1932. godine?;SALT LAKE CITY/2002.;4
350;Deltiologija je pojam koji se odnosi na proučavanje i skupljanje čega?;RAZGLEDNICA;4
351;Imenovan po ruskom arhipelagu u arktičkom krugu, kako se naziva polarni optički fenomen koji nastaje zbog prelamanja Sunčeve svjetlosti izmedu atmosferskih tankih slojeva zraka ukojima je temperatura znatno različita nego iznad i ispod njih? Taj je efekt prvi put zabilježio član Barentsove ekspedicije Gerrit de Veer, a manifestira se prividom da je Sunce izašlo iako se ono još uvijek nalazi ispod horizonta.;Efekt NOVAJE ZEMLJE;5
352;U strahu od komunističke indoktrinacije tadašnje kubanske vlasti, uplašeni su roditelji u suradnji s Katoličkom crkvom u razdoblju izmedu 1960. i 1962. godine s Kube u SAD prebacili više od 14 tisuća djece u operaciji poznatoj pod kojim "književnim" imenom?;PETAR PAN;4
353;Koji je skladatelj autor opsežna zborskog djela Njemački rekvijem op. 45 iz 1868. godine, kompozicije nadahnute tugom za netom umrlom majkom? Sedam stavaka u trajanju od 80 minuta čine Rekvijem njegovim najdužim djelom.;Johannes BRAHMS;4
354;Nastao iz pera Ivane Brlić-Mažuranić 1937. godine, naslovni junak i turski sužanj Jaša Dalmatin potkralj je koje savezne države na zapadu Indije?;GUDŽERAT (GUDŽARAT);4
355;Pod imenom Max Stierlitz krije se sovjetski obavještajac Maksim Isajev iz ciklusa špijunskih romana Julijana Semjonova, a sovjetska i svjetska javnost toga junaka i omiljenog lika sovjetske pop-kulture upoznala je ekranizacijom romana u kojoj istoimenoj televizijskoj seriji iz 1973., koja je Vjačeslava Tihonova vinula u glumačke zvijezde?;SEDAMNAEST TRENUTAKA PROLJEĆA;4
356;Na groblju otočića San Michele u blizini kojega je grada posljednje počivalište glazbenih velikana Igora Stravinskog i Sergeja Djagileva, redatelja Ezre Pounda, pisca Josifa Brodskog, slikara Zorana Mušiča, fizičara Christiana Dopplera i nogometnog "revolucionara" Helenija Herrere?;VENECIJA;4
357;Prema francuskom za"skitnicu" ili "lutalicu", kako se zove osoba koja se slobodno šeta bez posebno zacrtana cilja, a u svojim ju je pariškim esejima proslavio Walter Benjamin opisavši je kao sasvim drugačijeg hodača od uglađenog literarnog šetača iz Tuileriesa?;FLANER;5
358;Smješten u podnožju planine Meru, grad Arusha bio je od 1994. do 2015. godine sjedište Medunarodnog suda za ratne zločine počinjene u Ruandi. Na sjeveroistoku koje se države nalazi Arusha?;TANZANIJA;5
359;Smješten na jugozapadu zemlje, kako se zove švicarski kanton s glavnim gradom Sionom, nakon Graubündena i Berna površinom najveći?;VALAIS/WALLIS;5
360;Protiv kojega je turskog nogometnog kluba Hajduk zaigrao u prvom nastupu na novom poljudskom stadionu, u rujnu 1979. u utakmici 1. kola tadašnjeg Kupa prvaka?;TRABZONSPOR;5
361;Kako se zove područje geometrije koje se bavi proučavanjem geometrijskih likova u ravnini i njihovim odnosima?;PLANIMETRIJA;4
362;Kako se zvala jedrilica Mladena Šuteja, kojom je, započevši plovidbu 1994. godine, objedrio svijet meridionalnim rutama, a prošao je kroz područje Arktika, dojedrio do Antarktike te se nakon 37 mjeseci jedrilicom uspješno vratilo u Kraljevicu?;HRVATSKA ČIGRA;4
363;Uglavnom se uzgaja u Kini, a najkvalitetniji je na Tajlandu: kako se, prema kineskom za "crni zmaj", zove napola fermentirani čaj obrađen iz lišća Camellia sinensis, koji sadrži više teina nego zeleni čaj i manje od crnog čaja, a koristi se kao dodatak za mršavljenje?;OOLONG/WÜLÓNG;5
364;Planinski lanac nazvan je po ocu, a njegov najviši vrh (4509 metara), ujedno i najviša točka Papue Nove Gvineje, po mladem sinu. Sin je Wilhelm, a otac je koji državnik?;Otto von BISMARCK (Bismarckovo gorje);5
365;Osvojivši "kipiće" za filmove Gravitacija, Birdman i Povratnik, Emmanuel Lubezki jedina je osoba u povijesti s tri uzastopna Oscara u kojoj kategoriji?;Najbolja FOTOGRAFIJA/ KAMERA;4
366;Kako se zove tip novinarstva, čiji je tvorac novinar i pisac Hunter S. Thompson, s vrlo subjektivnom formom izvještavanja koju karakterizira upotreba sarkazma, psovki i pretjerivanja te pisanje po osjećanju? Izraz u bostonskom irskom slengu predstavlja osobu koja nakon alkoholiziranja cijele noći i dalje stoji na nogama.;GONZO novinarstvo;2
367;Koji je kultni indie rock-bend osnovan 1984. godine u New Jerseyju, a ime mu je sa španjolskog doslovno preveden izraz "imam je"?;YO LA TENGO;4
368;Pokazavši se jedinim na setu koji zna koristiti aparat za kavu, James Michael Tyler dobio je ulogu kojega "bjelokosog" lika iz Prijatelja, koji se najčešće pojavljuje u seriji, a ne pripada slavnoj šestorci?;GUNTHER;1
369;Poznat samo i kao pop, kako se zove hrvatski glagoljaški pisar, kaligraf i iluminator iz 15. stoljeća, čiji je najpoznatiji zapis onaj iz 1493. godine u kojem opisuje teško stanje u Hrvatskoj nakon poraza hrvatskoga plemstva na Krbavskome polju?;Pop MARTINAC;4
370;Čije je životno djelo fantastično-satirični roman u pet knjiga Gargantua i Pantagruel, genijalna satira zastarjelih srednjovjekovnih pogleda i institucija koje je postalo ogledalom renesansnog čovjeka?;François RABELAIS;4
371;Uz svanski, lazijski i mingrelski, koji je s oko četiri milijuna govornika najrašireniji jezik izolirane porodice jezika koju zajedno tvore?;GRUZIJSKI JEZIK (južnokavkaski/kartvelski jezici);5
372;Nazvana po središnjoj kanadskoj provinciji, odakle tradicionalno dolazi proizvodnja posebne vrste pšenice otporne na hladnoću, kako se zove vrsta bogatog brašna s visokim postotkom glutenina i glijadina, pogodna za pripremu kompaktnijih tijesta?;MANITOBA;5
373;Ako se u džudu protivnika baci na leđa s razumnom količinom snage, automatski se pobjeđuje zbog maksimalno dobivenog broja bodova koji se zove kako?;IPPON;4
