Rbr;Tekst;Odgovor;Tezina
562;Kako se zovu vrlo postojani vjetrovi koji u području od 30° sjeverno do 30° južno od ekvatora pušu tijekom cijele godine u istom smjeru donoseći hladniji zrak prema ekvatorijalnom pojasu niskoga tlaka, a ime im vjerojatno potječe od nizozemskog za  "prolaz "?;PASATI;4
563;Dijeleći ime s latinskim nazivom za rod zmija otrovnica, kako se zove čvor u sportskom ribolovu, čiji karakteristični završni izgled podsjeća na račvasti zmijski jezik?;VIPERA;5
564;Sargon Veliki poznat je po rušenju sumerskog kralja Ur-Zababe, ali i i po osnivanju koje dinastije, nazvane po novoj prijestolnici na lijevoj obali Eufrata, iz koje je kao prvi monarh novog carstva vladao na prijelazu iz 24. u 23. stoljeće pr. Kr.?;AKADSKA dinastija;5
565;Kako se zove uređaj koji se koristi u istraživanju i praćenju gledanosti TV programa, nastao tehnološkim osuvremenjivanjem metode tzv. dnevnika praćenja?;PEOPLEMETAR;4
566;Nazvan po konopima na koje se na tržnicama štipaljkama objese knjižice narodne poezije i priča iz narodne predaje u crno-bijelom tisku, najčešće popraćene drvorezima, kojim se terminom označava tip književnosti prisutan pretežno na sjeveroistoku Brazila?;Literatura de CORDEL;5
567;Kako se u antičkoj grčkoj vojsci zvao teško naoružan pješak, opremljen kratkim mačem, kopljem, štitom i kacigom?;HOPLIT;3
568;Dijeleći ime s petim najmnogoljudnijim gradom u Iranu, kako se zove sorta crnoga grožđa i marketinški naziv sorte syrah proizvedene za tržišta u Australiji, Južnoj Africi i Sjevernoj Americi?;SHIRAZ;5
569;Pod kojim je imenom poznatiji belgijski stripovski umjetnik, prezimena Huppen, najpoznatiji po postapokaliptičnom stripu Jeremiah iz 1979. godine?;HERMANN;4
570;Poznat kao  "afrički Bob Marley", reggae-pjevač Alpha Blondy (pravim imenom Seydou Koné) svoje politički i socijalno motivirane pjesme, osim na materinskom dioula, pjeva i na engleskom, francuskom, arapskom i hebrejskom jeziku. U kojoj je državi taj pjevač jedna od najvećih zvijezda i čije su pjesme od početka osamdesetih simbol otpora?;OBALA BJELOKOSTI;5
571;U kojoj je atletskoj disciplini bivša reprezentativka SSSR-a i Slovačke Galina Čistjakova 1988. godine u Sankt-Peterburgu postigla jedan od najdugovječnijih svjetskih rekorda?;SKOK U DALJ;5
572;Prema engleskom filozofu J. L. Austinu, utemeljitelju teorije govornog čina, koji je, uz lokuciju i ilokuciju, treći temeljni aspekt svakoga govornog čina, a posredovan je kazivanjem i podrazumijeva manipulaciju sugovornikom?;PERLOKUCIJA;5
573;Kako se zove umjetni, nesaharidni zaslađivač koji se koristi kao zamjena za šećer u nekoj hrani i piću, s oznakom APM, a u Europskoj uniji označava se kao E951?;ASPARTAM;4
574;U kojem se gradu na istoku Tunisa nalazi najveći sačuvani rimski amfiteatar izvan Europe, čija je ovalna unutrašnjost 1996. godine poslužila Nikeu za televizijsku reklamu"Good vs Evil", u kojoj su nogometaši Cantona, Ronaldo, Maldini, Figo i društvo odigrali utakmicu protiv demonskih ratnika?;El JEM/al-ĞAM / El DŽEM;5
575;Po kojem istraživaču i novinaru ime nosi treći najviši planinski vrh Afrike, 5109 metara visok vrh u gorju Rwenzori, poznat i kao Ngaliema?;Henry Morton STANLEY;5
576;Podrijetlom iz latinskog u značenju  "ustrajan ", koji je općeprihvaćeni talijanski naziv za višestruko ponavljanje nekoga glazbenog (ritmičkog, melodijskog ili harmonijskog) obrasca uz mijenjanje ostalih glazbenih parametara, a najčešće se javlja u basovskoj dionici i osim u klasičnim kompozicijama, prisutan je i u jazzu i popularnoj glazbi?;OSTINATO;5
577;Dijeleći naziv s kćerima morskog boga Forkija i Kete, kako se zvala umjetnička grupa koja je djelovala u Zagrebu od 1959. do 1966. godine, a okupljala je umjetnike Marijana Jevšovara, Julija Knifera, Duru Sedera, Josipa Vaništu, Ivana Kožarića, Miljenka Horvata te teoretičare Dimitrija Bašičevića Mangelosa, Radoslava Putara i Matka Meštrovića?;GORGONA;5
578;Kako se zvao dubrovački kroničar i prepisivač iz 16. stoljeća, najpoznatiji kao sastavljač opsežna zbornika ljubavne lirike s više od osamsto pjesama najstarijih dubrovačkih pjesnika, nazvana upravo po njemu?;Nikša RANJINA;5
579;Inspiriranu tada sedamnaestogodišnjom Heloísom Pinheiro, koju je pjesmu u kolovozu 1962. prvi put izveo João Gilberto u malom klubu u Riju de Janeiru, a engleska verzija njegove supruge i jazz-majstora Stana Getza postala planetarno popularna i 1965. godine bila nagrađena Grammyjem?;THE GIRL FROM IPANEMA / GAROTA DE IPANEMA;5
580;Najraširenija u Nizozemskoj te u manjoj mjeri u Njemačkoj i Francuskoj, kako se zovu zemljišta koja leže ispod razine susjednog mora, jezera ili rijeke, a od plavljenja su zaštićena nasipom?;POLDERI;5
581;Prema mjestu u kojem je izdan, kako se zove dokument hrvatske državnosti, kojim plemstvo Kraljevine Hrvatske potvrduje izbor nadvojvode Ferdinanda I. Habsburškog za hrvatskoga kralja?;CETINGRADSKA povelja;5
582;Kako se zvala danska seizmologinja i geofizičarka koja je 1936. godine mjerenjem seizmičkih valova prva zaključila da se Zemljina jezgra sastoji od dvaju slojeva čvrstog unutarnjeg i tekućeg vanjskog dijela kako bi proizvela seizmičke valove koji odgovaraju mjerenjima?;Inge LEHMANN;5
583;Prezimena gotovo istog kao ono našeg pjevača zabavne glazbe, kako se zvao sin talijanskog krojača i jedan od najznačajnijih francuskih modnih dizajnera (1933. 2019.) čija je istoimena modna kuća od osnutka 1965. godine omiljena u svijetu bogatih i slavnih?;Emanuel UNGARO;5
584;Od grčkih riječi za  "životinju " i  "bolest ", koji pojam predstavlja skupinu zaraznih bolesti, zajedničkih ljudima i pojedinim životinjskim vrstama, koje se mogu prenositi sa životinja na ljude i obratno? Uzročnici su virusi, bakterije, gljivice, praživotinje, a neke su od tih bolesti bjesnoća, leptospiroza, trihineloza, ebola, salmoneloza, tularemija.;ZOONOZA;5
585;Kako se na  "D " drugim imenom zove prizorna filmska glazba koja proizlazi iz izvora u fikcionalnoj naraciji, a oni mogu biti predočeni u obliku radija ili raznih razglasnih sustava te putem žive svirke gdje glazbenici izvode određenu glazbu?;DIJEGETSKA glazba;4
586;Nazvana prema izraelskom fizičaru rođenom u Meksiku, koji je koncept uveo u kontekstu termodinamike crnih rupa, kako se zove granica za količinu informacija koju fizički svijet može kodirati, a čija vrijednost nikada ne može biti veća od konstante (oko 2,5 x 1043 bita po metru i kilogramu) pomnožene masom i radijusom?;BEKENSTEINOVA granica (Jacob Bekenstein);5
587;Kojem se portugalskom pomorcu i istraživaču troslovnog prezimena pripisuje otkriće ušća rijeke Kongo te teritorija današnjih država Angole i Namibije?;Diogo CÃO;5
588;Po čuvenom francuskom slikaru rokokoa nazivan i  "Fragonardom Cipela", kako se zove francuski dizajner koji je dizajnirao obuću kraljici Elizabeti II. za njezinu krunidbu 1953., a klijenti su mu među ostalima bili Ava Gardner, Gloria Guinness te The Beatles? Vjerojatno mu je najslavnija kreacija ona za Christiana Diora, kad je 1955. godine kreirao potpeticu stiletto ojačanu tankom čeličnom šipkom koja je među ženama postala planetarno popularna.;Roger Henri VIVIER;5
589;Po kojem je reggae-glazbeniku, pravog imena Orville Richard Burrell, nazvana pravna strategija obrane pri kojoj optuženi negira kazneno djelo unatoč evidentnim i bjelodanim dokazima? Taj se pojam počeo koristiti zahvaljujući njegovoj pjesmi It Wasn't Me iz 2000. godine.;SHAGGY;3
590;Kako se zvao hrvatski jezikoslovac i prevoditelj, jedan od istaknutijih članova ilirskog pokreta te među njima jedini rođeni štokavac, čija je poznata rečenica  "Piši za oko, a govori za uši" dugo bila glavno obilježje književnojezične norme temeljene na morfonološkom pravopisu?;Vjekoslav (Alojzije) BABUKIĆ;5
591;Kako su se prezivali Abraham i njegovi sinovi Alfred i William, obitelj koja je imala najveći utjecaj na poslijeratno stanovanje u SAD-u, jer je njihova tvrtka izgradila na desetke tisuća pristupačnih kuća u predgradima i u potpunosti promijenila tamošnju kulturu obiteljskog života?;LEVITT;5
592;Nazvano po njemačkom biologu iz 19. stoljeća, kako se zove ekogeografsko pravilo prema kojemu su jedinke iste ili blisko srodne vrste toplokrvnih životinja u hladnijim područjima veće i teže, a one u toplijim područjima manje i lakše?;BERGMANNOVO pravilo;5
593;Pobjedom na Eurosongu 1995. godine u Dublinu duo Secret Garden izveo je pobjedničku pjesmu s najmanje teksta u povijesti natjecanja. Naime, u pjesmi Nocturne originalno je uz pratnju violine otpjevano točno 25 riječi na kojem jeziku?;NORVEŠKI;5
594;U Hrvatskoj najpoznatiji kao trener boksačke reprezentacije Banovine Hrvatske i izbornik reprezentacije NDH, kako se zvao boksač koji se tridesetih godina 20. st. doselio u Zagreb radi supruge Ruže i otvorio privatnu boksačku školu?;Jimmy LYGGETT;5
595;Kako se u rimskom pravu zove trajna zajednica muškarca i žene među robovima ili između roba i slobodne osobe, bez pravnih posljedica, za razliku od braka (matrimonij)?;KONTUBERNIJ/ CONTUBERNIUM;5
596;Bečki liječnik Franz Gall autor je pristupa prema kojem svako od urođenih mentalnih obilježja počiva u zasebnom organu na površini mozga, čija veličina odražava izraženost toga obilježja. Pod kojim je nazivom poznata ta pseudoznanstvena disciplina?;FRENOLOGIJA;4
597;Najpoznatiji po svom velikom hitu Another Chance iz 2001. godine, kako se zove dominikansko-američki house-DJ i producent koji je uz vlastite aranžmane velike uspjehe postigao i remiksovima pjesama Diane Ross, Kylie Minogue, Madonne, Maroon 5, No Doubt i Police?;Roger SANCHEZ;5
598;U kojem je mjestu blizu Udina 1797. godine potpisan mir izmedu Napoleona i Philippa von Cobenzla, predstavnika austrijske monarhije, kojim je Austriji pripao veći dio Mletačke Republike s gradom Venecijom, Istrom, kvarnerskim otocima, Dalmacijom i Bokom kotorskom?;CAMPOFORMIO;5
599;S četirima zlatnim i jednom srebrnom medaljom Natalie Geisenberger najuspješnija je olimpijka u kojem sportu, čija je krov-na organizacija poznata pod kraticom FIL?;SANJKANJE (FILFédération Internationale de Luge de Course);5
600;Koji se engleski termin, koji je 1954. skovala spisateljica Sylvia Wright ne razumjevši dobro posljednji stih iz 17-stoljetne škotske balade, koristi za fenomen višestrukog tumačenja neke pjesme najčešće zbog pjevačeva nerazgovijetna izgovora ili ih se pogrešno čuje zbog složenih struktura ritma pjesme? Poznat je primjer stih iz pjesme Purple Haze Jimija Hendrixa gdje se excuse me while I kiss the sky često pogrešno čuje kao excuse me while I kiss this guy.;MONDEGREEN (fraza laid him on the green zamijenjena izrazom Lady Mondegreen);5
601;U prijevodu"majka hraniteljica", kako glasi latinski naziv za sveučilište koje je netko pohađao i gdje se "zadojio" znanjem i sposobnostima?;ALMA MATER;3
602;U kojoj TV seriji jedan od dvojice glavnih likova kaže legendarnu rečenicu onom drugom: Don't worry, this time next year, we'll be millionaires."?;MUĆKE/ONLY FOOLS AND HORSES;1
603;Lik glumca Ruperta Everetta poslužio je kao inspiracija za grafičku obradu kojeg istraživača nadnaravnog, junaka stripa čiji je prvi broj izašao krajem 1986. godine?;DYLAN DOG;1
604;Koja je sveobuhvatna publikacija u ožujku 2012., 244 godine nakon prvog tiskanog izdanja, prestala s takvom vrstom objavljivanja i od tada je dostupna isključivo u digitalnom obliku?;Encyclopaedia BRITANNICA;4
605;lako nije u potpunosti utvrdeno potječe li iz vremena kineske dinastije Han ili iz Drugog punskog rata, kakva je zastava danas općenito prihvaćen znak predaje vojnih postrojbi, utvrda ili ratnih brodova?;BIJELA;1
606;S brojnim jezerima i močvarama kao utočištem za više od 300 vrsta ptica i 45 vrsta slatkovodnih riba, delta koje je rijeke najočuvanija u Europi i kao takva od 1991. nalazi se na UNESCO-ovu popisu svjetske baštine?;DUNAV;3
607;Koju je svjetski poznatu korporaciju u Billundu 1932. godine osnovao stolar Ole Kirk Christiansen, a koja zbog Velike ekonomske krize u početku nije imala značajnijih uspjeha?;LEGO;4
608;Škotski kemičar Joseph Black sredinom 18. stoljeća dokazao je da ljudi izdišu koji plin, nazvavši ga "fiksirani zrak"?;CO, (UGLJIKOV DIOKSID);1
609;Sa 70 posto teritorija ispod 500 mm padalina godišnje, koji je najsuši naseljeni kontinent? Od ukupno deset pustinja površinom je najveća Velika Viktorijina, a najmanja Pedirka.;AUSTRALIJA;4
610;Pod kojim je imenom poznata strateška igra na 1957. godine osmislio Albert Lamorisse, nazvavši je La Conquête ploči koju je du monde (Osvajanje svijeta)?;RIZIK;2
611;Znanstvenog imena Theraphosa blondi, pauk ptičar najveća je vrsta pauka na svijetu, koja može doseći masu do 170 g i sveukupnu dužinu do 30 cm. Uz navedena, pod kojim je biblijskim imenom najpoznatiji taj divovski pauk?;GOLIJAT;4
612;Ako nam je u šahovskoj partiji protivnik uzeo figuru "en passant", znači da smo ostali bez koje figure?;PJEŠAK;1
613;Po kojem se talijanskom gradu zove način paniranja pri kojem se namirnica prije prženja uvalja u pšenično bijelo brašno, zatim u razmućena jaja i na kraju u krušne mrvice pomiješane s ribanim parmezanom?;MILANO;4
614;Koji je hrvatsko-ugarski kralj izdao Zlatnu bulu, kraljevski privilegij zapisan 16. studenoga 1242. u Virovitici, kojim je Gradec postao slobodni kraljevski grad?;BELA IV. Arpadović;2
615;Na scenarij za koji je film Georgea Lucasa iz 1977. godine uvelike utjecala knjiga američkog mitologa Josepha Campbella Junak s tisuću lica, u kojoj je opisan koncept"monomita", suštinske strukture tisućljetne ostavštine mitova i legendi?;RATOVI ZVIJEZDA/ STAR WARS (Episode IVA New Hope);1
616;U romanu objavljenom 1866. godine, koji je književni lik potaknut krajnjom bijedom odlučio ubiti i opljačkati staricu Aljonu Ivanovnu?;Rodion RASKOLJNIKOV;4
617;Na unutarnjem dijelu postolja koje se građevine nalaze ugravirani stihovi iz soneta pjesnikinje Emme Lazarus The New Colossus iz 1883. godine, koji završava stihovima: "Pošaljite mi te beskućnike i stradalnike oluja, za njih uzdižem baklju kraj zlatnih vrata!"?;KIP SLOBODE;3
618;Pod kojim su imenima poznatima po slavnim animiranim likovima prvotno nastupali Simon & Garfunkel?;TOM I JERRY;3
619;Koja je poznata televizijska osoba 1997. godine u dvodijelnoj The Puppy Episode ABC-jeve serije Ellen od producenata zahtijevala da njezin lik javno objavi da je lezbijka što je i učinila priznajući to svojoj psihijatrici koju je glumila Oprah Winfrey? Bilo je to prvi put u povijesti TV-a da je glavni lik neke serije otvoreno priznao svoju homoseksualnost.;Ellen DEGENERES;2
620;Rođen kao Adriaan Florensz Boeyens, Hadrijan VI. do danas je jedini papa koje nacionalnosti te ujedno posljednji netalijan na toj funkciji do izbora Ivana Pavla II. 455 godina kasnije?;NIZOZEMAC;4
621;U prvoj polovici 2020. u svijetu je objavljeno više od 20 tisuća znanstvenih radova o kojoj bolesti, što je nikad ranije zabilježen porast interesa za neku temu istraživanja u cjelokupnoj povijesti znanosti?;COVID-19;2
622;Vojni časnik Claude Joseph Rouget de Lisle napisao je 1792. godine riječi i glazbu za ratnu himnu Chant de guerre pour l'armée du Rhin koja je tri godine kasnije postala poznata pod kojim današnjim imenom?;MARSELJEZA / La MARSEILLAISE;3
623;Smješten u istoimenom nacionalnom parku u jugozapadnom Maroku, Toubkal je s 4167 metara najviši vrh koje planine, ujedno i najviši vrh sjeverne Afrike i arapskog svijeta?;ATLAS;4
624;Kako bi se dobio liker Kahlúa, koji se napitak miješa sa šećernom trskom, rumom i vanilijom?;KAVA;4
625;Časopis Advertising Age 1999. godine jednog je kauboja proglasio najutjecajnijim likom 20. stoljeća koji reklamira neki brend, a samu kampanju jednom od najuspješnijih u tom razdoblju. Koji brend, čiji je slogan "Mild As May" pedesetih godina učetverostručio prodaju, reklamira utjecajni kauboj?;Cigarete MARLBORO;1
626;Nakon završetka nogometne karijere brazilski čarobnjak Ronaldinho kratko je vrijeme igrao futsal za klubove Goa 5's i Delhi Dragons iz koje države?;INDIJA;4
627;Tko je prva osoba u Hrvatskoj koja je svoj kvizaški projekt zaštitila kao intelektualno vlasništvo? Naime, popularnu igru asocijacija" iz Kviskoteke najprije je zaštitio na jugoslavenskoj, a zatim na svjetskoj razini.;Lazo GOLUŽA;3
628;Pod kojim nazivom u kemiji poznajemo ono što su starogrčki filozofi Leukip i Demokrit označavali kao najmanju nedjeljivu osnovu materije i duše?;ATOM;3
629;Kako se zvao narod koji je nekada nastanjivao teritorij od Krke u Dalmaciji do Raše u Istri te susjedne otoke, čiji su zapadni susjedi bili Histri u Istri, a u Dalmaciji južno od Krke Delmati?;LIBURNI;4
630;Koji broj u naslovu sadrži remake pola stoljeća starijeg filma Sidneyja Lumeta, pravna drama Nikite Mihalkova iz 2007. godine o čečenskom mladiću optuženom za ubojstvo očuha?;12 (remake 12 gnjevnih ljudi");5
631;Kojega je datuma (dan i mjesec) 2001. godine američki bend Slayer objavio svoj deveti studijski album znakovita imena God Hates Us All?;11. RUJNA;5
632;Ako bi se na svakom izloženom predmetu zadržao samo jednu minutu, procjenjuje se da bi jednom posjetitelju trebalo oko jedanaest godina da obide cijeli muzej. Koji ruski muzej ima oko tri milijuna primjeraka u svojoj kolekciji?;ERMITAŽ;5
633;Kako se zvao draguljar kojega je ruski car Aleksandar III. angažirao da za Uskrs 1885. godine kao poklon njegovoj supruzi izradi posebno ukrašeno jaje?;Peter Carl (Karl) FABERGÉ;4
634;Dijeleći ime s matematičkom krivuljom drugog reda, kako se zove kratka, jezgrovita priča u prozi ili stihu, koja donosi moralnu ili religioznu poruku?;PARABOLA;3
635;Vizigotski kralj Hispanije i Septimanije Rekared I. odbacio je 587. godine arijanstvo u korist koje religije postavši tako prvi vizigotski kralj te denomincije?;KRŠĆANSTVO;3
636;Koji je zajednički naziv za sustav špilja u podnožju Crnopca u jugoistočnom Velebitu, otkrivenih prilikom gradnje ličke željeznice dvadesetih godina 20. stoljeća? Sastoje se od Donje, Srednje i Gornje špilje, a 1961. godine zaštićene su kao geomorfološki spomenik prirode.;CEROVAČKE špilje;4
637;Koja je Verdijeva tročinska opera iz 1851. godine, s pričom o naslovnom grbavcu, dvorskoj ludi čija se jedina kći Gilda zaljubljuje u vojvodu od Mantove, temeljena na drami Victora Hugoa Kralj se zabavlja?;RIGOLETTO;4
638;Dovršenu 1943. godine, crkvu sv. Franje Asiškog u Belo Horizonteu, koju je svojedobno lokalni nadbiskup nazvao "đavoljim skloništem", s prepoznatljivim betonskim lukovima u modernističkom je stilu dizajnirao koji slavni arhitekt?;Oscar NIEMEYER;5
639;Seksualna privlačnost ili sklonost prema djevojčicama, najčešće tinejdžericama, koje postaju seksualna opsesija starijih muškaraca, naziva se kompleksom prema kojem naslovnom književnom liku dvanaestogodišnjoj djevojčici?;LOLITA;3
640;Alois Schloder prvi je diskvalificirani sportaš sa zimskih olimpijskih igara zbog korištenja dopinga. U kojem se sportu natjecao taj Nijemac čija je momčad ipak nastavila natjecanje u Sapporu i naposljetku osvojila sedmo mjesto?;HOKEJ NA LEDU;5
641;Kako se zovu organeli eukariotskih stanica u kojima se odvija aerobna respiracija i sinteza adenozin-trifosfata (ATP), a izgledaju poput izduženih tjelešaca promjera oko 0,5 μm i duljine ne-koliko mikrometara?;MITOHONDRIJ;3
642;Pod kojim je imenom poznatija Petrarcina zbirka pjesama, isprva prema sintagmi iz prvoga stiha uvodnoga soneta nazvana Rasute rime (Rime sparse)?;KANCONIJER;4
643;Koji je povijesni događaj u središtu priče filma Vatroslava Mimice (1975.) kada u zimu 1573. godine u stubičkom kraju izbija masovan antifeudalni pokret protiv strahovlade veleposjednika?;SELJAČKA BUNA;3
644;Kojim se vražjim" imenom naziva vrući i suhi sjeveroistočni vjetar, koji s istoimene planine najčešće u proljeće i jesen pogada područje zaljeva San Francisca u Kaliforniji?;DIABLO;5
645;Preteču kojega je višenamjenskog i visokomobilnog vozila tvrtka AM General izvorno dizajnirala 1979. kao laki oklopni transporter za potrebe američke vojske na gotovo svim konfliktnim područjima gdje je bila razmještena? Prvi vlasnik komercijalnog civilnog modela H1 bio je Arnold Schwarzenegger, zaljubljenik koji je početkom devedesetih lobirao za njegovu dostupnost na tržištu.;HUMMER (HAMER);5
646;Prvi put dodijeljena 1959., kako se zove prestižna glazbena nagrada, čiji je "radni" naziv bio Eddie (po Thomasu Edisonu), no ubrzo je promijenjen te nagrada ime nosi po izumu Emilea Berlinera?;GRAMMY / GRAMOPHONE AWARD;4
647;Hakkapeliitta je bio naziv korišten za finsku laku konjicu koja se u službi švedskog kralja borila u kojem ratu?;TRIDESETOGODIŠNJI rat;4
648;U kojoj se američkoj saveznoj državi, prema Svjetskoj meteorološkoj organizaciji, nalaze dva grada s najviše sunčanih dana u godini, što ih čini najsunčanijim naseljenim mjestima na svijetu?;ARIZONA (Yuma i Phoenix);5
649;U kojoj je kartaškoj igri jedan od najuspješnijih domaćih natjecatelja bio Geza Klein, kapetan jugoslavenske reprezentacije koja se u tridesetima okitila brojnim svjetskim i europskim medaljama?;BRIDŽ;4
650;Nazvan prema popularnom digitalnom "kućnom ljubimcu", kako se zove efekt emocionalne povezanosti ljudi s robotima, gadgetima, računalnim programima, virtualnim ljubimcima", aplikacijama, odnosno neživim stvarima kojima se pridaju stvarne emocije?;Efekt TAMAGOTCHI;2
651;Olimpijska pobjednica iz Pariza i američka "kraljica valova" Gertrude Ederle postala 1926. godine je prva žena koja je preplivala koji morski prolaz?;La MANCHE/ENGLESKI kanal;4
652;Kako se zove lingvistička disciplina koja se bavi proučavanjem značenja jezičnih znakova, vezom između značenja i njegova izraza, a čijim se utemeljiteljem krajem 19. stoljeća smatra Michel Bréal?;SEMANTIKA;2
653;Zbog svog dugoročnog tajmera, model Casio F-91W jedan je od najčešće korištenih satova u izradi čega?;EKSPLOZIV/BOMBA;4
654;Površinom većem od savezne države Rhode Island, u kojem se gradu"usidrilo" oko 40 posto stanovnika Aljaske?;ANCHORAGE;3
655;U filmu Louisa Mallea Lift za gubilište (1958.) kao glazbena podloga koristila se glazba kojega čuvenog džezista? Jazz-kritičar Phil Johnson soundtrack je opisao kao "najusamljeniji zvuk trube koju ćete ikad čuti i model tužne glazbe".;Miles DAVIS;4
656;Iako je migracijama povremeno prisutan u drugim područjima, prirodno su stanište weddellova tuljana mora oko kojega konti-nenta?;ANTARKTIKA;5
657;Neki smatraju da je inspirirana likom Dantea koji gleda u likove svoga Pakla, drugi da je sam autor u promatranju svoje kompozicije, dok neki smatraju da je to pak biblijski Adam. Koja je to Rodinova skulptura, dio monumentalnih Vrata pakla?;MISLILAC;4
658;Koji slavni roman iz 19. stoljeća započinje rečenicom: "Opće je poznata istina da samcu u posjedu velikog bogatstva sigurno treba supruga."?;PONOS I PREDRASUDE;5
659;Koji je outlaw country-pjevač osim bogate karijere (albumi The Red Headed Stranger, Stardust, Phases and Stages) poznat i kao ekološki aktivist, pa tako od 2005. godine proizvodi biogorivo od biljnih ulja, na tržištu poznato kao BioWillie?;Willie NELSON;4
660;Židovski povjesničar Josip Flavije pisao je da su neki ljudi vrhovnu političku vlast predali monarhijama, drugi oligarhijama, a neki pak masama (demokraciji), dok je "naš zakonodavac oblikovao ono što se zove kojim tipom vladavine, stavivši sav suverenitet i autoritet u ruke Boga"?;TEOKRACIJA;4
661;Dijeleći ime s fiktivnom, kako se zvala prva podmornica koja je 1958. godine prošla Sjeverni pol ploveći ispod zaleđenog pokrova Sjevernog ledenog mora?;NAUTILUS;3
662;Na turskom u značenju"selo ptica", Kuşköy je mjesto na obali Crnog mora u kojem je malobrojno stanovništvo prije četiristo godina osmislilo jednostavan način komunikacije na veće udaljenosti. Koji je to način komunikacije kojem je posvećen i godišnji festival kako bi ga se promoviralo među mladom populacijom?;ZVIŽDANJE;4
663;U kojem se serijalu videoigara održava natjecanje borilačkih vještina The King of Iron Fist Tournament, čiji je domaćin korporacija Mishima Zaibatsu?;TEKKEN;4
664;Tko je u svom djelu Rad probavnih žlijezda iz 1897. godine opisao rezultate svojih pokusa i cijeli proces nazvao uvjetovanim refleksom, što je ustvrdio na istraživanjima sa psima? Istraživanja fiziologije želučane sekrecije donijela su mu 1904. Nobelovu nagradu za medicinu ili fiziologiju.;Ivan Petrovič PAVLOV;5
665;Na medalji kojega odlikovanja uz memorijalni centar Yad Vashem i zahvalu naroda stoji natpis na francuskom jeziku koji preveden glasi: "Tko spasi jednoga čovjeka, spasio je cijeli svijet."?;PRAVEDNIK MEÐU NARODIMA;5
666;S radnjom smještenom u Zagreb 16. stoljeća te crno-bijelom tehnikom opisanim likovima, koji se roman iz 1871. godine smatra prvim hrvatskim povijesnim romanom?;ZLATAROVO ZLATO;5
667;Nošene tijekom jutarnjih molitvi, dvije kutijice od crne kože zvane tefilin, od kojih se jedna stavlja na glavu, a druga na biceps jedne ruke (obje pričvršćene kožnatim remenjem), sadrže svitke sa stihovima iz koje svete knjige?;TORA;4
668;Upamćena kao prva hrvatska koncertna i operna pjevačica, Sidonija Erdődy Rubido u centar kulturne javnosti dospjela je maestralnom izvedbom glavne junakinje Ljubice u kojoj operi Vatroslava Lisinskog?;LJUBAV I ZLOBA;5
669;Po kojem je biljnom rodu nazvana serija od 250 slika, originalnog naziva Les Nymphéas, koju je Claude Monet slikao od 1899. do smrti 1926. godine, tijekom hortikulturalnog projekta proširenja svoga vrta u Givernyju?;LOPOČ;4
670;U Shakespearovoj komediji San Ivanjske noći, u kojem se gradu odvija vjenčanje Tezeja i amazonske kraljice Hipolite?;ATENA;4
671;Na Eurosongu 1974. godine talijanska predstavnica Gigliola Cinquetti osvojila je drugo mjesto iza ABBA-e, ali je građani Italije nisu mogli gledati izravno zbog zabrane prijenosa koji se održavao u vrijeme kampanje za nacionalni referendum o rastavi braka, pa se strahovalo od moguće subliminalne poruke. Kako se jednostavno zvala pjesma?;SÌ;5
672;Uz revidiranu romanizaciju koju je 2000. godine predstavio tamošnji Nacionalni jezični institut, McCune-Reischauer najčešće je korišten sustav romanizacije kojega jezika?;KOREJSKI;4
673;Mnogima simbol kraja komunizma i pada željezne zavjese, bijela drvena kuća Höfði vjerojatno je najpoznatija po događaju iz listopada 1986. godine važnom susretu kojih dvaju državnika?;Ronald REAGAN i Mihail GORBAČOV (summit u Reykjaviku);4
674;Za otkriće kojega su peptidnog hormona Frederick Banting i John J. R. Macleod nagradeni Nobelovom nagradom 1923. godine? Naime, godinu ranije oni su s kolegom Charlesom Bestom dali injekciju svojeg spasonosnog otkrića dječaku Leonardu Thompsonu koji se nakon toga naglo oporavio.;INZULIN;4
675;Osvojivši turnir u Cincinnattiju 2018. godine, koji je tenisač postao prvi igrač u povijesti koji je osvojio svih devet godišnjih turnira iz serije Masters 1000?;Novak ĐOKOVIĆ;5
676;Serijski ubojica Ed Gein, koji se neko vrijeme sam brinuo o bolesnoj majci, poslužio je kao inspiracija za roman Roberta Blocha, ekraniziran 1960. godine u koji istoimeni triler?;PSIHO;5
677;Usmjeren protiv vladajućih struktura zbog povećanja troškova života, kako se zove pokret izvornog imena gilets jaunes, koji se 2018. godine proširio na niz europskih država?;ŽUTI PRSLUCI;4
678;Operu Idomeneo, praizvedenu u Münchenu 1781. godine, o kretskom kralju koji mora žrtvovati vlastitog sina kako bi se odužio bogu Neptunu, kritika često smatra najosobnijom operom kojega skladatelja, s obzirom na to da je vrlo vjerojatno nastala kao glazbeni portret njegova oca Leopolda?;Wolfgang Amadeus MOZART;4
679;Jedan od osnivača i glavnih predstavnika kojega je kratkotrajnog, ali utjecajnog umjetničkog pokreta (grupe) iz 20. stoljeća bio slikar i grafičar Franz Marc, koji je s 36 godina nesretno izgubio život u Bitki za Verdun?;PLAVI JAHAČ / Der BLAUE REITER;5
680;Prema Marxu, zapadno se društvo razvijalo u četiri glavne epohe. Ako su druga i treća antičko i feudalno društvo, koje su dvije epohe na prvom i posljednjem mjestu?;(Primitivni) KOMUNIZAM I KAPITALISTIČKO društvo;4
